CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Saturday 04 March 2023
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Lonsdale St - Elizabeth St (North),56,144,123,83,120,105,50,26,51,111,271,357,449,503,548,485,581,411,549,554,581,506,437,418,300
Bourke St Bridge,57,46,24,14,4,15,7,36,60,132,200,280,250,213,233,243,187,272,307,302,258,180,142,166,72
Bourke St - Spencer St (North),58,273,178,111,57,53,72,111,209,398,632,855,946,1030,949,881,923,921,979,969,745,643,467,443,412
RMIT Building 80,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RMIT Building 14,61,137,111,56,51,26,36,62,73,178,276,467,511,713,705,846,787,769,660,680,615,523,430,414,201
Elizabeth St-La Trobe St (East),55,863,553,357,283,134,94,153,260,416,858,1334,1745,2183,2480,2552,2342,2586,2405,2703,2506,2220,2074,1600,1296
La Trobe St (North),62,216,133,93,88,55,85,130,126,107,222,260,389,349,442,430,468,378,345,425,418,378,325,344,269
231 Bourke St,63,N/A,N/A,N/A,N/A,N/A,N/A,5,63,139,292,499,606,753,902,1004,916,920,821,823,813,653,565,817,801
Royal Pde - Grattan St,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Swanston St - City Square,65,393,236,127,102,43,23,54,81,216,298,473,769,894,1214,1389,1149,1420,1210,1192,1193,976,882,1052,746
State Library- New,66,498,289,122,117,46,29,45,85,202,457,820,1292,1886,2309,2797,2910,2771,2722,2494,2290,2080,1728,1225,893
Flinders Ln -Degraves St (South),67,223,87,57,42,11,18,44,136,349,664,826,802,1054,1050,1004,1045,875,1018,811,685,602,581,517,449
Flinders Ln -Degraves St (North),68,23,4,1,2,1,1,3,36,59,129,196,215,294,297,298,298,244,226,262,226,154,131,70,71
Flinders Ln -Degraves St (Crossing),69,6,2,0,0,1,0,2,18,41,76,128,144,230,197,217,183,165,115,96,81,22,30,16,16
Errol Street (East),70,13,6,2,4,1,5,8,53,100,207,330,440,424,289,293,227,245,248,321,421,325,248,327,44
Westwood Place,71,14,8,11,12,9,3,4,4,19,18,47,12,16,9,16,11,13,33,32,17,21,19,40,36
Flinders St- ACMI,72,392,118,35,40,39,71,87,60,153,254,318,506,626,741,802,701,790,946,983,903,605,665,1158,1299
Bourke St - Spencer St (South),73,144,105,199,33,25,32,67,60,153,217,232,278,207,368,277,362,294,334,230,220,261,181,227,210
Spring St- Flinders St (West),75,N/A,N/A,N/A,N/A,N/A,N/A,6,12,5,5,1,14,9,6,90,83,133,92,150,127,50,N/A,N/A,N/A
Macaulay Rd-Bellair St,76,5,N/A,2,2,1,N/A,8,22,66,139,156,162,137,112,89,109,88,104,92,60,77,20,13,22
Harbour Esplanade (West) - Pedestrian Path,77,93,26,11,12,3,9,19,69,191,204,313,242,230,291,299,246,251,321,374,430,435,321,222,112
Harbour Esplanade (West) - Bike Path,78,28,11,6,2,1,2,6,46,66,94,103,121,136,123,123,130,102,114,118,109,29,17,24,27
Flinders St (South),79,556,321,197,139,106,54,105,177,320,590,838,1107,1346,1446,1479,1343,1495,1630,1393,1303,1010,922,1119,1191
Elizabeth St - Flinders St (East) - New footpath,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Macaulay Rd (North),85,12,9,4,1,N/A,1,9,21,100,150,188,244,232,234,175,169,176,134,154,154,106,37,28,31
Queensberry St - Errol St (South),86,19,1,3,6,2,9,2,10,56,105,159,122,143,104,87,71,84,104,112,73,110,54,38,20
Errol St (West),87,21,9,2,7,3,4,12,34,94,191,315,276,286,241,208,171,196,169,242,194,187,88,44,28
Flagstaff station (East),88,74,48,44,39,13,25,43,64,124,141,247,303,289,264,237,288,205,235,272,217,175,194,181,129
William St - Little Lonsdale St (West),89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Trobe St - William St (South),90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
114 Flinders St,91,278,84,23,14,11,22,30,65,119,226,234,312,299,352,447,422,468,552,586,632,525,336,427,638
Birrarung Marr East - Batman Ave Bridge Entry,92
Total,,17190,9635,6025,3975,2134,2154,3537,6297,12542,22909,34999,46899,56190,61881,67148,61475,60368,61558,58728,54743,47801,42596,46938,34171


Average Hourly Pedestrian Counts for Saturday over the past 4 weeks. 
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,205,105,80,64,26,18,29,56,222,528,1180,1991,2595,3028,3112,3153,3002,2628,2047,1605,986,625,494,500
Bourke Street Mall (South),2,168,106,96,66,17,20,25,48,143,430,939,1328,1807,2066,2173,2050,1843,1455,1024,608,499,403,374,389
Melbourne Central,3,947,652,391,314,144,91,96,106,218,456,787,1246,1864,2349,2616,2581,2586,2452,2382,2410,2348,2087,1869,1650
Town Hall (West),4,744,386,261,165,85,57,84,161,408,910,1643,2534,3282,3719,3968,3944,3760,3587,3039,2675,2380,2288,2077,1618
Princes Bridge,5,742,358,191,111,72,81,129,198,393,733,1193,1705,2415,3076,2619,2766,3027,2921,2737,2505,2304,2445,3057,1779
Flinders Street Station Underpass,6,684,333,174,143,78,93,140,250,497,845,1094,1441,1717,1903,1974,2112,2130,2195,2067,1918,1650,1631,1605,1352
Birrarung Marr,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Webb Bridge,8,36,26,4,3,5,5,34,71,126,224,285,327,311,330,340,333,310,324,280,259,180,155,152,151
Southern Cross Station,9,51,29,17,14,8,6,27,56,100,106,146,139,196,184,170,158,185,191,182,176,94,82,128,337
Victoria Point,10,33,6,6,5,3,9,18,31,65,98,123,112,113,80,104,104,112,129,161,147,116,93,200,365
Waterfront City,11,11,2,1,N/A,N/A,N/A,11,36,50,63,88,93,114,117,147,130,121,136,171,207,232,133,97,65
New Quay,12,101,37,12,14,6,11,27,79,107,187,269,351,405,397,466,407,442,564,646,730,705,620,567,523
Sandridge Bridge,14,220,134,72,64,47,37,61,104,184,296,354,464,521,588,620,620,635,652,581,607,615,553,574,441
Collins Place (South),17,61,26,26,18,14,20,50,66,109,201,231,250,312,297,296,300,323,350,379,286,265,205,225,155
Collins Place (North),18,28,10,10,2,4,5,9,24,65,102,123,169,187,185,181,169,172,169,134,110,88,70,84,76
Chinatown-Swanston St (North),19,434,282,148,120,47,21,14,33,60,143,311,623,1039,1241,1197,1105,1182,1218,1375,1392,1358,1230,1057,780
Chinatown-Lt Bourke St (South),20,312,197,96,69,22,16,14,23,45,89,206,363,601,669,577,516,663,737,880,946,897,915,869,707
Bourke St-Russell St (West),21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Elizabeth St (East),22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spencer St-Collins St (South),23,88,50,33,15,15,23,38,58,122,196,243,319,275,318,274,306,347,335,349,313,222,218,210,306
Spencer St-Collins St (North),24,422,189,114,78,76,72,185,309,431,677,950,1097,1200,1235,1135,1177,1162,1203,1099,886,725,691,861,1087
Melbourne Convention Exhibition Centre,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QV Market-Elizabeth St (West),26,200,138,116,80,71,65,99,153,307,635,908,1202,1416,1410,1162,929,701,557,568,547,549,455,377,329
QV Market-Peel St,27,58,43,22,17,9,18,32,70,135,234,333,386,416,404,366,325,225,198,194,159,155,135,129,90
The Arts Centre,28,152,66,54,38,25,38,59,98,196,423,714,1187,1740,2781,1740,1810,2567,1731,1594,1594,667,959,2083,670
St Kilda Rd-Alexandra Gardens,29,65,40,24,11,10,24,65,106,136,179,269,366,506,600,522,560,623,746,745,657,349,304,658,335
Lonsdale St (South),30,644,484,308,203,102,69,65,46,83,165,263,371,519,594,578,673,703,739,844,913,893,935,1078,787
Lygon St (West),31,162,55,28,13,16,6,12,40,88,118,161,207,264,311,334,320,346,442,574,788,916,948,783,430
Flinders St-Spark La,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
